,NORMAL,IDV(1),IDV(2),IDV(3),IDV(4),IDV(5),IDV(6),IDV(7),IDV(8),IDV(9),IDV(10),IDV(11),IDV(12),IDV(13),IDV(14),IDV(15),IDV(16),IDV(17),IDV(18),IDV(19),IDV(20)
NORMAL,2328,0,0,529,0,0,0,0,0,251,6,6,0,1,0,293,9,0,0,41,56
IDV(1),0,1905,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2
IDV(2),21,0,1888,2,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0
IDV(3),650,0,0,861,0,0,0,0,0,134,7,8,0,1,0,190,11,1,0,39,14
IDV(4),0,0,0,0,1901,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
IDV(5),0,0,0,0,0,1907,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
IDV(6),0,0,0,0,0,0,1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IDV(7),0,0,0,0,0,0,0,1915,0,0,0,0,0,0,0,0,0,0,0,1,0
IDV(8),59,0,31,21,0,1,0,0,1659,6,21,1,68,33,0,1,1,2,0,3,9
IDV(9),793,0,0,552,0,0,0,0,0,232,4,8,0,0,0,261,10,0,0,41,15
IDV(10),176,0,0,97,0,0,0,0,0,59,1451,2,0,2,0,86,18,0,0,14,11
IDV(11),39,0,0,13,55,0,0,0,0,11,2,1776,0,0,0,10,2,3,0,5,0
IDV(12),18,0,2,7,0,30,0,0,22,1,10,3,1767,5,0,5,0,0,32,0,14
IDV(13),94,0,0,41,0,1,0,0,14,21,78,2,62,1575,0,19,1,0,1,4,3
IDV(14),0,0,0,0,0,0,0,0,0,0,0,1,0,0,1915,0,0,0,0,0,0
IDV(15),782,0,0,454,0,0,0,0,0,227,11,6,1,0,0,355,13,0,0,48,19
IDV(16),104,0,0,66,0,0,0,0,0,32,83,3,0,0,0,48,1553,0,0,18,9
IDV(17),68,0,0,50,0,0,0,0,0,11,1,4,0,0,0,9,0,1769,0,2,2
IDV(18),117,0,0,37,0,1,0,0,2,11,2,1,54,0,0,16,5,0,1655,1,14
IDV(19),27,0,0,48,0,0,0,0,0,13,0,6,0,0,0,24,30,0,0,1697,71
IDV(20),120,0,0,110,0,0,0,0,0,28,9,3,4,0,0,58,2,0,0,16,1566
